listing_id,title,price,area,bedrooms,bathrooms,location,purpose,down_payment,dp_ratio,price_note,rental_frequency,is_negotiable,is_verified,is_hot,has_payment_plan,is_off_plan,is_ready,badge_names,agency_name
89689,VIP Apartment,135000.0,180,2,3.0,"Vana Towers, Erbil",For Sale,33750.0,0.25,(Down payment),,0,0,1,0,1,0,"hot_sale, off_plan",Grand View Real Estate Company
89218,Furnished Apartment For Sale,98500.0,94,1,1.0,"Empire Wings, Erbil",For Sale,0.0,0.0,,,0,0,1,0,0,1,"hot_sale, ready, video",Jamana Real Estate Company
88842,Modern Apartment in White Towers,97500.0,138,2,2.0,"White Towers, Erbil",For Sale,0.0,0.0,,,0,0,1,0,0,1,"hot_sale, ready",Broker
74846,Furnished Apartment For Rent,400.0,87,1,1.0,"Life Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Sakan Real Estate Company
74606,Furnished Apartment in Life Towers,350.0,73,0,1.0,"Life Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Sakan Real Estate Company
73872,Modern Furnished Apartment in Mini Slava,350.0,86,1,1.0,"Mini Slava, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Sakan Real Estate Company
73838,Modern 2 Bedroom Apartment in Erbil,600.0,114,2,2.0,"Mini Slava, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Sakan Real Estate Company
89883,Modern Three-Bedroom Apartment with Stunning Views,600.0,148,3,2.0,"Wavey Avenue, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,MIRAN Real Estate
89882,Elegant Two-Bedroom Apartment for Rent,600.0,170,2,2.0,"Rami Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,MIRAN Real Estate
89881,Cozy Apartment in High-Rise Building,500.0,97,1,1.0,"Boulevard, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Divine Real Estate Company
62506,Corner House Opposite Garden,200000.0,230,4,4.0,"Zaner City, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,"new_price, ready",Mulkdar Real Estate Company
87759,Modern Apartment on the 44th Floor,105000.0,99,1,1.0,"Cavalli Tower, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Divine Real Estate Company
81444,House Opposite Garden,270000.0,400,4,4.0,"Slava City 2, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,"new_price, ready",Mulkdar Real Estate Company
89877,Modern Apartment in Empire Pearl Towers,650.0,97,1,1.0,"Empire Pearl Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,1,0,0,0,0,1,ready,Muhamad Noor Real Estate Company
89876,Furnished Apartment For Rent,400.0,56,1,1.0,"Life Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Sakan Real Estate Company
53286,Elegant Furnished Residence for Sale,150000.0,200,2,2.0,"Shari Mamostayan, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,"new_price, ready, video",Mulkdar Real Estate Company
89875,Spacious 2BR Apartment with Great View,160000.0,148,2,2.0,"Boulevard, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Adam Real Estate
86972,Farm (2500m²),250000.0,2500,0,,"150m Street, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,"new_price, ready, video",Mulkdar Real Estate Company
89872,Spacious Family Home in Ganjan City,250000.0,350,4,3.0,"Ganjan City, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,MIRAN Real Estate
52075,A Group of Shops For Sale,250000.0,200,0,,"Shari Bazrgani, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,"new_price, ready, video",Mulkdar Real Estate Company
89871,Spacious 3 Bedroom Apartment for Rent,1000.0,195,3,2.0,"Boulevard, Erbil",For Rent,0.0,0.0,(Monthly),monthly,1,0,0,0,0,1,ready,Divine Real Estate Company
89870,Apartment in Cash,103000.0,108,1,1.0,"Cavalli Tower, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Divine Real Estate Company
89869,Furnished Apartment For Sale,67900.0,59,0,1.0,"Cavalli Tower, Erbil",For Sale,53925.0,0.794,(Down payment),,0,0,0,0,0,1,"installment, ready",Upland Real Estate Company
74681,Prime commercial land available For Sale,450000.0,536,0,,"150m Street, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,0,new_price,Mulkdar Real Estate Company
