title,price,area,bedrooms,bathrooms,location,purpose,type,is_furnished,is_verified,is_negotiable,is_sold,has_payment_plan,rental_frequency,is_monthly,is_yearly,dp_ratio,has_agency,agency_name,price_note,is_hot,is_off_plan,is_ready,has_video,property_id
New Apartment,69000.0,116,2,1.0,"Life Towers, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Zahrat AlMadain Company,(Negotiable),1,0,1,0,85443
VIP Apartment,135000.0,180,2,3.0,"Vana Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Grand View Real Estate Company,(Down payment),1,1,0,0,89689
Furnished Apartment For Sale,98500.0,94,1,1.0,"Empire Wings, Erbil",For Sale,sale,1,0,0,0,0,,0,0,0.0,1,Jamana Real Estate Company,,1,0,1,1,89218
Modern Apartment in White Towers,97500.0,138,2,2.0,"White Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Broker,,1,0,1,0,88842
Furnished Apartment For Rent,400.0,87,1,1.0,"Life Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Sakan Real Estate Company,(Monthly),0,0,1,0,74846
Furnished Apartment in Life Towers,350.0,73,0,1.0,"Life Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Sakan Real Estate Company,(Monthly),0,0,1,0,74606
Cozy apartment with 1 Bedroom,109410.0,104,1,1.0,"Tulip Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Tulip Towers Project,(Down payment),0,1,0,0,86222
External View Apartment,156880.0,212,3,2.0,"Vana Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Vana Towers Project,(Down payment),0,1,0,0,82756
"Compact apartment in Erbil, Alaska Towers",84700.0,110,1,1.0,"Alaska Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.1771,1,Alaska Towers Project,(Down payment),0,1,0,1,76195
Apartment (340m²),329800.0,340,4,4.0,"London Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,London Towers Project,(Down payment),0,1,0,0,66303
1 Bedroom Fully Furnished Apartment,550.0,96,1,1.0,"Empire Pearl Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Jamana Real Estate Company,(Monthly),0,0,1,1,89960
Cozy apartment in Rasan Towers,250.0,80,1,1.0,"Rasan Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Sakan Real Estate Company,(Monthly),0,0,1,0,89959
Spacious House in Shadi City,230000.0,400,6,5.0,"Shadi City, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Sakan Real Estate Company,(Negotiable),0,0,1,0,89958
Cozy Fully Furnished Apartment in Erbil,325.0,50,1,1.0,"Life Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Sakan Real Estate Company,(Monthly),0,0,1,0,89957
External View Apartment,375.0,115,2,2.0,"Rasan Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Sakan Real Estate Company,(Monthly),0,0,1,0,89956
Spacious Home in Mass Hills,290000.0,320,4,4.0,"Mass Hills, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,MIRAN Real Estate,,0,0,1,0,89955
Cozy One Bedroom Apartment for Rent,500.0,84,1,1.0,"Wavey Avenue, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,MIRAN Real Estate,(Monthly),0,0,1,0,87181
Furnished Apartment For Rent,350.0,83,0,1.0,"Lalav City, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,88624
Furnished Apartment For Sale,80000.0,170,3,2.0,"Lalav City, Erbil",For Sale,sale,1,0,0,0,0,,0,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,,0,0,1,0,89954
